OBS,YEAR,MONTH,U.S._STATE,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,CUSTOMERS.AFFECTED,POPULATION,OUTAGE.START,OUTAGE.RESTORATION,anomaly_bin
30,2012,6.0,Tennessee,Central,-0.1,normal,public appeal,,,2700.0,,6455469,2012-06-30 15:00:00,2012-07-02 12:00:00,-0.5 to 0
31,2014,6.0,Tennessee,Central,0.0,normal,intentional attack,vandalism,,1.0,,6547779,2014-06-19 08:47:00,2014-06-19 08:48:00,-0.5 to 0
32,2011,4.0,Tennessee,Central,-0.5,cold,severe weather,,,4921.0,73000.0,6398408,2011-04-04 14:00:00,2011-04-08 00:01:00,-1.0 to -0.5
33,2015,5.0,Tennessee,Central,0.8,warm,intentional attack,vandalism,,95.0,215.0,6600299,2015-05-02 22:51:00,2015-05-03 00:26:00,0.5 to 1.0
34,2015,2.0,Tennessee,Central,0.5,warm,severe weather,winter,,251.0,50000.0,6600299,2015-02-21 08:34:00,2015-02-21 12:45:00,0 to 0.5
35,2014,6.0,Tennessee,Central,0.0,normal,severe weather,thunderstorm,,4125.0,38500.0,6547779,2014-06-05 03:00:00,2014-06-07 23:45:00,-0.5 to 0
36,2011,4.0,Tennessee,Central,-0.5,cold,severe weather,,,2550.0,105000.0,6398408,2011-04-19 23:02:00,2011-04-21 17:32:00,-1.0 to -0.5
37,2016,7.0,Tennessee,Central,-0.3,normal,system operability disruption,public appeal,,,,6649404,2016-07-13 15:00:00,,-0.5 to 0
38,2014,1.0,Tennessee,Central,-0.5,cold,severe weather,winter,,1200.0,,6547779,2014-01-23 16:00:00,2014-01-24 12:00:00,-1.0 to -0.5
39,2015,3.0,Tennessee,Central,0.6,warm,intentional attack,vandalism,,310.0,,6600299,2015-03-04 09:05:00,2015-03-04 14:15:00,0.5 to 1.0
40,2013,1.0,Tennessee,Central,-0.4,normal,severe weather,winter storm,,2818.0,80000.0,6496130,2013-01-17 19:02:00,2013-01-19 18:00:00,-0.5 to 0
41,2011,4.0,Tennessee,Central,-0.5,cold,severe weather,,,5054.0,63000.0,6398408,2011-04-04 11:47:00,2011-04-08 00:01:00,-1.0 to -0.5
42,2009,6.0,Tennessee,Central,0.4,normal,severe weather,storm,,136.0,136000.0,6306019,2009-06-12 16:37:00,2009-06-12 18:53:00,0 to 0.5
43,2014,3.0,Tennessee,Central,-0.4,normal,severe weather,wind storm,,528.0,65904.0,6547779,2014-03-03 06:40:00,2014-03-03 15:28:00,-0.5 to 0
44,2014,1.0,Tennessee,Central,-0.5,cold,severe weather,winter,,150.0,,6547779,2014-01-07 06:00:00,2014-01-07 08:30:00,-1.0 to -0.5
45,2011,4.0,Tennessee,Central,-0.5,cold,equipment failure,,,46.0,,6398408,2011-04-25 16:33:00,2011-04-25 17:19:00,-1.0 to -0.5
46,2014,6.0,Tennessee,Central,0.0,normal,intentional attack,vandalism,,1.0,,6547779,2014-06-24 14:54:00,2014-06-24 14:55:00,-0.5 to 0
47,2014,1.0,Tennessee,Central,-0.5,cold,severe weather,winter,,1920.0,,6547779,2014-01-23 04:00:00,2014-01-24 12:00:00,-1.0 to -0.5
48,2016,4.0,Tennessee,Central,1.1,warm,intentional attack,vandalism,,,0.0,6649404,2016-04-27 13:36:00,,>1.0
49,2009,1.0,Tennessee,Central,-0.7,cold,severe weather,winter storm,,32.0,,6306019,2009-01-27 21:45:00,2009-01-27 22:17:00,-1.0 to -0.5
50,2014,6.0,Wisconsin,East North Central,0.0,normal,fuel supply emergency, Coal,,,,5759432,2014-06-27 13:21:00,,-0.5 to 0
51,2014,1.0,Wisconsin,East North Central,-0.5,cold,intentional attack,vandalism,,135.0,,5759432,2014-01-22 00:30:00,2014-01-22 02:45:00,-1.0 to -0.5
52,2005,11.0,Wisconsin,East North Central,-0.5,cold,severe weather,thunderstorm,,3000.0,48000.0,5546166,2005-11-12 16:00:00,2005-11-14 18:00:00,-1.0 to -0.5
53,2013,8.0,Wisconsin,East North Central,-0.3,normal,severe weather,,,32.0,7000.0,5743653,2013-08-29 14:57:00,2013-08-29 15:29:00,-0.5 to 0
54,2014,1.0,Wisconsin,East North Central,-0.5,cold,fuel supply emergency, Coal,,108653.0,,5759432,2014-01-24 00:00:00,2014-04-09 11:53:00,-1.0 to -0.5
55,2014,4.0,Wisconsin,East North Central,-0.2,normal,fuel supply emergency, Coal,,8468.0,,5759432,2014-04-03 14:45:00,2014-04-09 11:53:00,-0.5 to 0
56,2003,7.0,Wisconsin,East North Central,0.1,normal,severe weather,thunderstorm,,960.0,52000.0,5479203,2003-07-04 06:00:00,2003-07-04 22:00:00,0 to 0.5
57,2014,1.0,Wisconsin,East North Central,-0.5,cold,intentional attack,vandalism,,44.0,,5759432,2014-01-29 16:00:00,2014-01-29 16:44:00,-1.0 to -0.5
58,2016,1.0,Wisconsin,East North Central,2.2,warm,intentional attack,sabotage,,1605.0,0.0,5772917,2016-01-04 05:15:00,2016-01-05 08:00:00,>1.0
59,2005,9.0,Wisconsin,East North Central,0.0,normal,severe weather,storm,,4410.0,110000.0,5546166,2005-09-13 18:30:00,2005-09-16 20:00:00,-0.5 to 0
60,2010,8.0,Wisconsin,East North Central,-1.2,cold,public appeal,,,388.0,7600.0,5690204,2010-08-12 15:42:00,2010-08-12 22:10:00,<-1.0
61,2010,10.0,Wisconsin,East North Central,-1.5,cold,severe weather,heavy wind,,480.0,63000.0,5690204,2010-10-27 04:00:00,2010-10-27 12:00:00,<-1.0
62,2003,4.0,Wisconsin,East North Central,0.0,normal,intentional attack,vandalism,,1219.0,0.0,5479203,2003-04-28 15:41:00,2003-04-29 12:00:00,-0.5 to 0
63,2014,1.0,Wisconsin,East North Central,-0.5,cold,intentional attack,vandalism,,90.0,,5759432,2014-01-24 15:30:00,2014-01-24 17:00:00,-1.0 to -0.5
64,2014,3.0,Wisconsin,East North Central,-0.4,normal,fuel supply emergency, Coal,,18660.0,,5759432,2014-03-04 09:06:00,2014-03-17 09:06:00,-0.5 to 0
65,2014,6.0,Wisconsin,East North Central,0.0,normal,severe weather,thunderstorm,,538.0,120000.0,5759432,2014-06-30 17:55:00,2014-07-01 02:53:00,-0.5 to 0
66,2013,8.0,Wisconsin,East North Central,-0.3,normal,fuel supply emergency, Natural Gas,,104.0,,5743653,2013-08-07 07:30:00,2013-08-07 09:14:00,-0.5 to 0
67,2014,1.0,Wisconsin,East North Central,-0.5,cold,intentional attack,vandalism,,60.0,,5759432,2014-01-22 13:55:00,2014-01-22 14:55:00,-1.0 to -0.5
68,2013,8.0,Wisconsin,East North Central,-0.3,normal,severe weather,thunderstorm,,1272.0,51160.0,5743653,2013-08-07 00:15:00,2013-08-07 21:27:00,-0.5 to 0
69,2014,1.0,Wisconsin,East North Central,-0.5,cold,intentional attack,vandalism,,60.0,,5759432,2014-01-25 10:00:00,2014-01-25 11:00:00,-1.0 to -0.5
70,2015,3.0,West Virginia,Central,0.6,warm,intentional attack,vandalism,,1.0,,1844128,2015-03-22 16:25:00,2015-03-22 16:26:00,0.5 to 1.0
71,2014,6.0,West Virginia,Central,0.0,normal,severe weather,thunderstorm,,1000.0,66383.0,1848751,2014-06-10 21:50:00,2014-06-11 14:30:00,-0.5 to 0
72,2012,10.0,West Virginia,Central,0.3,normal,severe weather,hurricanes,Sandy,17339.0,208000.0,1856283,2012-10-29 00:00:00,2012-11-09 23:59:00,0 to 0.5
73,2012,6.0,West Virginia,Central,-0.1,normal,severe weather,thunderstorm,,9576.0,265000.0,1856283,2012-06-29 18:24:00,2012-07-06 10:00:00,-0.5 to 0
74,2011,5.0,Michigan,East North Central,-0.4,normal,severe weather,,,3090.0,113000.0,9876589,2011-05-29 18:30:00,2011-05-31 22:00:00,-0.5 to 0
75,2005,9.0,Michigan,East North Central,0.0,normal,severe weather,thunderstorm,,6510.0,53000.0,10051137,2005-09-22 11:00:00,2005-09-26 23:30:00,-0.5 to 0
76,2003,11.0,Michigan,East North Central,0.3,normal,severe weather,heavy wind,,5820.0,245000.0,10041152,2003-11-12 17:00:00,2003-11-16 18:00:00,0 to 0.5
77,2011,7.0,Michigan,East North Central,-0.3,normal,public appeal,,,1078.0,,9876589,2011-07-21 12:32:00,2011-07-22 06:30:00,-0.5 to 0
78,2016,2.0,Michigan,East North Central,2.0,warm,severe weather,,,1513.0,145314.0,9933445,2016-02-19 22:00:00,2016-02-20 23:13:00,>1.0
79,2007,7.0,Michigan,East North Central,-0.4,normal,severe weather,storm,,4830.0,60000.0,10001284,2007-07-19 15:00:00,2007-07-22 23:30:00,-0.5 to 0
80,2003,8.0,Michigan,East North Central,0.2,normal,system operability disruption,,,3051.0,2100000.0,10041152,2003-08-14 16:09:00,2003-08-16 19:00:00,0 to 0.5
81,2003,4.0,Michigan,East North Central,0.0,normal,severe weather,winter storm,,4200.0,425000.0,10041152,2003-04-03 19:00:00,2003-04-06 17:00:00,-0.5 to 0
82,2011,5.0,Michigan,East North Central,-0.4,normal,system operability disruption,,,2085.0,78213.0,9876589,2011-05-10 03:25:00,2011-05-11 14:10:00,-0.5 to 0
83,2010,6.0,Michigan,East North Central,-0.4,normal,severe weather,,,5730.0,150000.0,9877369,2010-06-18 20:00:00,2010-06-22 19:30:00,-0.5 to 0
84,2014,4.0,Michigan,East North Central,-0.2,normal,severe weather,,,4290.0,164000.0,9916306,2014-04-12 20:00:00,2014-04-15 19:30:00,-0.5 to 0
85,2012,3.0,Michigan,East North Central,-0.4,normal,severe weather,winter storm,,2670.0,140000.0,9886879,2012-03-02 21:00:00,2012-03-04 17:30:00,-0.5 to 0
86,2009,4.0,Michigan,East North Central,-0.1,normal,severe weather,winter storm,,3540.0,70793.0,9901591,2009-04-06 01:00:00,2009-04-08 12:00:00,-0.5 to 0
87,2007,12.0,Michigan,East North Central,-1.3,cold,severe weather,winter storm,,3637.0,134288.0,10001284,2007-12-23 05:30:00,2007-12-25 18:07:00,<-1.0
88,2015,11.0,Michigan,East North Central,2.2,warm,severe weather,,,1710.0,60000.0,9922576,2015-11-21 20:30:00,2015-11-23 01:00:00,>1.0
89,2007,7.0,Michigan,East North Central,-0.4,normal,severe weather,storm,,4320.0,69000.0,10001284,2007-07-05 19:00:00,2007-07-08 19:00:00,-0.5 to 0
90,2009,10.0,Michigan,East North Central,0.9,warm,severe weather,storm,,3915.0,75000.0,9901591,2009-10-07 05:45:00,2009-10-09 23:00:00,0.5 to 1.0
91,2005,6.0,Michigan,East North Central,0.2,normal,severe weather,thunderstorm,,3120.0,105000.0,10051137,2005-06-05 14:00:00,2005-06-07 18:00:00,0 to 0.5
92,2009,6.0,Michigan,East North Central,0.4,normal,severe weather,wind/rain,,4590.0,118000.0,9901591,2009-06-25 15:30:00,2009-06-28 20:00:00,0 to 0.5
93,2005,6.0,Michigan,East North Central,0.2,normal,severe weather,thunderstorm,,7530.0,201580.0,10051137,2005-06-05 14:00:00,2005-06-10 19:30:00,0 to 0.5
94,2013,11.0,Michigan,East North Central,-0.3,normal,severe weather,snow/ice storm,,5034.0,325325.0,9900506,2013-11-17 07:00:00,2013-11-20 18:54:00,-0.5 to 0
95,2005,11.0,Michigan,East North Central,-0.5,cold,severe weather,thunderstorm,,8160.0,118000.0,10051137,2005-11-06 07:30:00,2005-11-11 23:30:00,-1.0 to -0.5
96,2003,7.0,Michigan,East North Central,0.1,normal,severe weather,thunderstorm,,3300.0,131000.0,10041152,2003-07-04 09:00:00,2003-07-06 16:00:00,0 to 0.5
97,2011,2.0,Michigan,East North Central,-1.0,cold,severe weather,winter storm,,4320.0,160000.0,9876589,2011-02-20 16:00:00,2011-02-23 16:00:00,<-1.0
98,2011,1.0,Michigan,East North Central,-1.3,cold,intentional attack,vandalism,,1770.0,0.0,9876589,2011-01-26 09:33:00,2011-01-27 15:03:00,<-1.0
99,2013,12.0,Michigan,East North Central,-0.3,normal,severe weather,snow/ice ,,9857.0,50000.0,9900506,2013-12-22 03:28:00,2013-12-28 23:45:00,-0.5 to 0
100,2012,10.0,Michigan,East North Central,0.3,normal,severe weather,thunderstorm,,4080.0,133777.0,9886879,2012-10-30 02:00:00,2012-11-01 22:00:00,0 to 0.5
101,2009,4.0,Michigan,East North Central,-0.1,normal,severe weather,wind/rain,,5670.0,125000.0,9901591,2009-04-25 14:30:00,2009-04-29 13:00:00,-0.5 to 0
102,2004,5.0,Michigan,East North Central,0.2,normal,severe weather,thunderstorm,,5700.0,248209.0,10055315,2004-05-21 13:00:00,2004-05-25 12:00:00,0 to 0.5
103,2015,8.0,Michigan,East North Central,1.4,warm,severe weather,,,1995.0,162000.0,9922576,2015-08-02 17:45:00,2015-08-04 03:00:00,>1.0
104,2016,7.0,Michigan,East North Central,-0.3,normal,severe weather,,,300.0,160895.0,9933445,2016-07-08 19:00:00,2016-07-09 00:00:00,-0.5 to 0
105,2008,12.0,Michigan,East North Central,-0.7,cold,severe weather,heavy wind,,5115.0,210517.0,9946889,2008-12-28 04:45:00,2008-12-31 18:00:00,-1.0 to -0.5
106,2012,7.0,Michigan,East North Central,0.1,normal,severe weather,thunderstorm,,2670.0,111000.0,9886879,2012-07-05 00:00:00,2012-07-06 20:30:00,0 to 0.5
107,2008,12.0,Michigan,East North Central,-0.7,cold,severe weather,heavy wind,,7650.0,247847.0,9946889,2008-12-27 16:00:00,2009-01-01 23:30:00,-1.0 to -0.5
108,2015,6.0,Michigan,East North Central,1.0,warm,severe weather,,,4338.0,68000.0,9922576,2015-06-27 17:00:00,2015-06-30 17:18:00,0.5 to 1.0
109,2003,9.0,Michigan,East North Central,0.2,normal,equipment failure,transmission interruption,,761.0,,10041152,2003-09-07 05:19:00,2003-09-07 18:00:00,0 to 0.5
110,2013,11.0,Michigan,East North Central,-0.3,normal,severe weather,thunderstorm,,5760.0,50000.0,9900506,2013-11-17 16:45:00,2013-11-21 16:45:00,-0.5 to 0
111,2010,10.0,Michigan,East North Central,-1.5,cold,severe weather,heavy wind,,2820.0,285000.0,9877369,2010-10-27 08:00:00,2010-10-29 07:00:00,<-1.0
112,2008,1.0,Michigan,East North Central,-1.4,cold,severe weather,winter storm,,4110.0,86915.0,9946889,2008-01-29 22:00:00,2008-02-01 18:30:00,<-1.0
113,2004,10.0,Michigan,East North Central,0.7,warm,severe weather,heavy wind,,3360.0,122000.0,10055315,2004-10-30 10:00:00,2004-11-01 18:00:00,0.5 to 1.0
114,2009,12.0,Michigan,East North Central,1.3,warm,severe weather,,,3015.0,65562.0,9901591,2009-12-10 17:45:00,2009-12-12 20:00:00,>1.0
115,2015,9.0,Michigan,East North Central,1.7,warm,severe weather,,,232.0,50114.0,9922576,2015-09-03 02:33:00,2015-09-03 06:25:00,>1.0
116,2011,4.0,Michigan,East North Central,-0.5,cold,intentional attack,vandalism,,11525.0,,9876589,2011-04-21 19:00:00,2011-04-29 19:05:00,-1.0 to -0.5
117,2006,2.0,Michigan,East North Central,-0.6,cold,severe weather,winter storm,,6420.0,252089.0,10036081,2006-02-16 12:00:00,2006-02-20 23:00:00,-1.0 to -0.5
118,2003,5.0,Michigan,East North Central,-0.2,normal,severe weather,flooding,,46080.0,2.0,10041152,2003-05-15 14:00:00,2003-06-16 14:00:00,-0.5 to 0
119,2009,8.0,Michigan,East North Central,0.5,warm,severe weather,wind/rain,,5700.0,137000.0,9901591,2009-08-07 23:00:00,2009-08-11 22:00:00,0 to 0.5
120,2010,8.0,Michigan,East North Central,-1.2,cold,severe weather,,,5610.0,80000.0,9877369,2010-08-19 18:00:00,2010-08-23 15:30:00,<-1.0
121,2009,3.0,Michigan,East North Central,-0.4,normal,equipment failure,transformer outage,,78377.0,,9901591,2009-03-03 06:48:00,2009-04-26 18:05:00,-0.5 to 0
122,2008,6.0,Michigan,East North Central,-0.5,cold,severe weather,thunderstorm,,270.0,53000.0,9946889,2008-06-26 17:00:00,2008-06-26 21:30:00,-1.0 to -0.5
123,2012,3.0,Michigan,East North Central,-0.4,normal,severe weather,winter storm,,4050.0,130000.0,9886879,2012-03-02 21:00:00,2012-03-05 16:30:00,-0.5 to 0
124,2011,7.0,Michigan,East North Central,-0.3,normal,severe weather,,,5865.0,182000.0,9876589,2011-07-02 20:15:00,2011-07-06 22:00:00,-0.5 to 0
125,2012,3.0,Michigan,East North Central,-0.4,normal,islanding,,,1.0,0.0,9886879,2012-03-29 12:01:00,2012-03-29 12:02:00,-0.5 to 0
126,2014,4.0,Michigan,East North Central,-0.2,normal,severe weather,thunderstorm,,2325.0,50000.0,9916306,2014-04-12 18:15:00,2014-04-14 09:00:00,-0.5 to 0
127,2010,12.0,Michigan,East North Central,-1.4,cold,severe weather,,,4170.0,60175.0,9877369,2010-12-12 16:30:00,2010-12-15 14:00:00,<-1.0
128,2013,1.0,Michigan,East North Central,-0.4,normal,severe weather,,,4485.0,146500.0,9900506,2013-01-20 03:30:00,2013-01-23 06:15:00,-0.5 to 0
129,2003,8.0,Michigan,East North Central,0.2,normal,system operability disruption,,,2694.0,101000.0,10041152,2003-08-14 16:09:00,2003-08-16 13:03:00,0 to 0.5
130,2007,9.0,Michigan,East North Central,-0.9,cold,equipment failure,generator trip,,168.0,,10001284,2007-09-24 13:38:00,2007-09-24 16:26:00,-1.0 to -0.5
131,2008,7.0,Michigan,East North Central,-0.4,normal,severe weather,,,5580.0,239663.0,9946889,2008-07-02 15:00:00,2008-07-06 12:00:00,-0.5 to 0
132,2008,12.0,Michigan,East North Central,-0.7,cold,severe weather,heavy wind,,705.0,230000.0,9946889,2008-12-28 11:45:00,2008-12-28 23:30:00,-1.0 to -0.5
133,2008,6.0,Michigan,East North Central,-0.5,cold,severe weather,storm,,11850.0,150000.0,9946889,2008-06-08 18:00:00,2008-06-16 23:30:00,-1.0 to -0.5
134,2012,4.0,Michigan,East North Central,-0.4,normal,severe weather,heavy wind,,3494.0,111393.0,9886879,2012-04-16 15:46:00,2012-04-19 02:00:00,-0.5 to 0
135,2004,5.0,Michigan,East North Central,0.2,normal,severe weather,thunderstorm,,4560.0,250000.0,10055315,2004-05-21 16:00:00,2004-05-24 20:00:00,0 to 0.5
136,2014,6.0,Michigan,East North Central,0.0,normal,severe weather,thunderstorm,,2760.0,138802.0,9916306,2014-06-18 17:00:00,2014-06-20 15:00:00,-0.5 to 0
137,2013,9.0,Michigan,East North Central,-0.2,normal,severe weather,thunderstorm,,5760.0,75000.0,9900506,2013-09-11 16:00:00,2013-09-15 16:00:00,-0.5 to 0
138,2008,6.0,Michigan,East North Central,-0.5,cold,severe weather,thunderstorm,,8922.0,358000.0,9946889,2008-06-06 15:18:00,2008-06-12 20:00:00,-1.0 to -0.5
139,2010,7.0,Michigan,East North Central,-0.9,cold,severe weather,,,6030.0,127534.0,9877369,2010-07-15 19:00:00,2010-07-19 23:30:00,-1.0 to -0.5
140,2004,5.0,Michigan,East North Central,0.2,normal,severe weather,thunderstorm,,7800.0,122600.0,10055315,2004-05-21 11:00:00,2004-05-26 21:00:00,0 to 0.5
141,2013,12.0,Michigan,East North Central,-0.3,normal,severe weather,snow/ice ,,4242.0,140735.0,9900506,2013-12-22 06:30:00,2013-12-25 05:12:00,-0.5 to 0
142,2007,5.0,Michigan,East North Central,-0.2,normal,severe weather,thunderstorm,,3120.0,66000.0,10001284,2007-05-15 15:00:00,2007-05-17 19:00:00,-0.5 to 0
143,2003,11.0,Michigan,East North Central,0.3,normal,severe weather,heavy wind,,5700.0,160000.0,10041152,2003-11-12 18:00:00,2003-11-16 17:00:00,0 to 0.5
144,2013,7.0,Michigan,East North Central,-0.3,normal,severe weather,thunderstorm,,900.0,156627.0,9900506,2013-07-19 18:00:00,2013-07-20 09:00:00,-0.5 to 0
145,2011,12.0,Michigan,East North Central,-0.9,cold,intentional attack,vandalism,,1046.0,0.0,9876589,2011-12-06 17:38:00,2011-12-07 11:04:00,-1.0 to -0.5
146,2005,6.0,Michigan,East North Central,0.2,normal,severe weather,thunderstorm,,7620.0,114711.0,10051137,2005-06-29 16:30:00,2005-07-04 23:30:00,0 to 0.5
147,2013,4.0,Michigan,East North Central,-0.2,normal,severe weather,heavy wind,,3630.0,99188.0,9900506,2013-04-18 15:00:00,2013-04-21 03:30:00,-0.5 to 0
148,2011,7.0,Michigan,East North Central,-0.3,normal,severe weather,,,1260.0,85000.0,9876589,2011-07-11 11:15:00,2011-07-12 08:15:00,-0.5 to 0
149,2004,10.0,Michigan,East North Central,0.7,warm,severe weather,heavy wind,,5840.0,159870.0,10055315,2004-10-30 12:30:00,2004-11-03 13:50:00,0.5 to 1.0
150,2007,8.0,Michigan,East North Central,-0.6,cold,severe weather,storm,,5790.0,75000.0,10001284,2007-08-24 18:00:00,2007-08-28 18:30:00,-1.0 to -0.5
151,2015,8.0,Michigan,East North Central,1.4,warm,severe weather,,,2820.0,72520.0,9922576,2015-08-03 01:00:00,2015-08-05 00:00:00,>1.0
152,2010,6.0,Michigan,East North Central,-0.4,normal,severe weather,thunderstorm,,600.0,100000.0,9877369,2010-06-18 19:00:00,2010-06-19 05:00:00,-0.5 to 0
153,2009,6.0,Michigan,East North Central,0.4,normal,severe weather,storm,,4259.0,99000.0,9901591,2009-06-19 00:01:00,2009-06-21 23:00:00,0 to 0.5
154,2005,11.0,Michigan,East North Central,-0.5,cold,severe weather,thunderstorm,,2939.0,272355.0,10051137,2005-11-12 23:00:00,2005-11-14 23:59:00,-1.0 to -0.5
155,2006,7.0,Michigan,East North Central,0.1,normal,severe weather,thunderstorm,,7080.0,315000.0,10036081,2006-07-16 14:00:00,2006-07-21 12:00:00,0 to 0.5
156,2002,3.0,Michigan,East North Central,0.1,normal,severe weather,,,3600.0,190000.0,10015710,2002-03-09 00:00:00,2002-03-11 12:00:00,0 to 0.5
157,2009,8.0,Michigan,East North Central,0.5,warm,severe weather,thunderstorm,,1588.0,58156.0,9901591,2009-08-09 19:31:00,2009-08-10 21:59:00,0 to 0.5
158,2010,7.0,Michigan,East North Central,-0.9,cold,severe weather,,,4260.0,82000.0,9877369,2010-07-23 19:30:00,2010-07-26 18:30:00,-1.0 to -0.5
159,2015,12.0,Michigan,East North Central,2.3,warm,severe weather,,,2700.0,168000.0,9922576,2015-12-24 03:00:00,2015-12-26 00:00:00,>1.0
160,2011,5.0,Michigan,East North Central,-0.4,normal,intentional attack,vandalism,,200.0,0.0,9876589,2011-05-04 12:20:00,2011-05-04 15:40:00,-0.5 to 0
161,2011,7.0,Michigan,East North Central,-0.3,normal,severe weather,,,8430.0,197166.0,9876589,2011-07-18 17:00:00,2011-07-24 13:30:00,-0.5 to 0
162,2011,7.0,Michigan,East North Central,-0.3,normal,severe weather,,,85.0,103000.0,9876589,2011-07-11 09:00:00,2011-07-11 10:25:00,-0.5 to 0
